"Subj","File","Word","Consonant","MinIntensity","Vowel","MaxIntensity","IntensityDifference","test_perc","test_cefr","Context"
"1","fas110928","fas110928_t1.wav","ABUELO","b",59.2699387273572,"u",62.7257427589028,3.45580403154552,63.0769230769231,"B2","medial"
"2","fas110928","fas110928_t1.wav","BUEN","b",56.2044566758064,"u",61.9893141217403,5.78485744593389,63.0769230769231,"B2","initial"
"3","fas110928","fas110928_t1.wav","JUGADOR","g",57.0133653330569,"a",61.44307195363,4.4297066205731,63.0769230769231,"B2","medial"
"4","fas110928","fas110928_t1.wav","JUGADOR","d",50.5264588488281,"o",61.0523873355703,10.5259284867422,63.0769230769231,"B2","medial"
"5","fas110928","fas110928_t1.wav","DE","d",53.7524667153852,"e",57.5831436872716,3.83067697188638,63.0769230769231,"B2","initial"
"10","fas110928","fas110928_t1.wav","GUSTA","g",47.3297215824044,"u",58.5580769512784,11.2283553688741,63.0769230769231,"B2","initial"
"11","fas110928","fas110928_t1.wav","JUGAR","g",51.039174403084,"a",54.7942064764369,3.75503207335287,63.0769230769231,"B2","medial"
"13","fas110928","fas110928_t1.wav","ABUELO","b",54.7891130272793,"u",62.3391309407967,7.55001791351731,63.0769230769231,"B2","medial"
"15","fas110928","fas110928_t1.wav","DEL","d",51.0438002050611,"e",59.6247414211065,8.58094121604541,63.0769230769231,"B2","initial"
"16","fas110928","fas110928_t1.wav","JUEGO","g",56.3160001919233,"o",59.747199671692,3.43119947976862,63.0769230769231,"B2","medial"
"18","fas110928","fas110928_t1.wav","DOMINAR","d",53.8204764492824,"o",61.6586335491979,7.83815709991552,63.0769230769231,"B2","initial"
"20","fas110928","fas110928_t1.wav","BALÓN","b",50.7309573842501,"a",63.1373026025903,12.4063452183401,63.0769230769231,"B2","initial"
"21","fas110928","fas110928_t1.wav","REGALÓ","g",50.3406133830242,"a",58.4075982821205,8.06698489909624,63.0769230769231,"B2","medial"
"22","fas110928","fas110928_t1.wav","SÁBADO","b",62.5543405844268,"a",66.3597151511436,3.80537456671677,63.0769230769231,"B2","medial"
"23","fas110928","fas110928_t1.wav","SÁBADO","d",60.1172212226458,"o",63.2054205199638,3.08819929731797,63.0769230769231,"B2","medial"
"24","fas110928","fas110928_t1.wav","DEL","d",54.5072160521889,"e",62.215403526176,7.70818747398711,63.0769230769231,"B2","initial"
"25","fas110928","fas110928_t1.wav","LLEVABA","b",51.9059400945137,"a",61.5877775256761,9.68183743116236,63.0769230769231,"B2","medial"
"26","fas110928","fas110928_t1.wav","LLEVABA","b",54.515121563197,"a",63.5570718825406,9.04195031934365,63.0769230769231,"B2","medial"
"27","fas110928","fas110928_t1.wav","CIUDAD","d",51.2742623145293,"a",57.4643424902932,6.19008017576397,63.0769230769231,"B2","medial"
"28","fas110928","fas110928_t1.wav","CIUDAD","d",40.7458657366026,"sil",30.2611142925006,-10.484751444102,63.0769230769231,"B2","final"
"29","fas110928","fas110928_t1.wav","PARTIDO","d",58.5987790800497,"o",58.0561063368711,-0.542672743178571,63.0769230769231,"B2","medial"
"30","fas110928","fas110928_t1.wav","DE","d",49.1613760532033,"e",57.9940992544518,8.83272320124847,63.0769230769231,"B2","initial"
"31","fas110928","fas110928_t1.wav","CLUB","b",28.8149762175484,"a",62.5500294526154,33.735053235067,63.0769230769231,"B2","final"
"32","fas110928","fas110928_t1.wav","AMADO","d",50.6322926561042,"o",52.8389754455917,2.20668278948754,63.0769230769231,"B2","medial"
"33","fas110928","fas110928_t1.wav","DESPUÉS","d",57.1420941483579,"e",63.3358284758626,6.19373432750474,63.0769230769231,"B2","initial"
"34","fas110928","fas110928_t1.wav","DE","d",51.2399511395083,"e",63.2548752642942,12.0149241247858,63.0769230769231,"B2","initial"
"35","fas110928","fas110928_t1.wav","GRITAR","g",46.0376095049642,"r",57.691350708958,11.6537412039938,63.0769230769231,"B2","initial"
"36","fas110928","fas110928_t1.wav","ÍBAMOS","b",59.1632903275882,"a",66.185640790034,7.02235046244579,63.0769230769231,"B2","medial"
"39","fas110928","fas110928_t1.wav","BATIDO","b",44.5858941979589,"a",59.9940892036343,15.4081950056755,63.0769230769231,"B2","initial"
"40","fas110928","fas110928_t1.wav","BATIDO","d",51.8092670661806,"o",59.8312247533982,8.02195768721754,63.0769230769231,"B2","medial"
"41","fas110928","fas110928_t1.wav","DE","d",54.3546444197039,"e",58.5279586135868,4.17331419388282,63.0769230769231,"B2","initial"
"43","fas110928","fas110928_t1.wav","DE","d",51.5769555653421,"e",60.5636966448183,8.98674107947627,63.0769230769231,"B2","initial"
"44","fas110928","fas110928_t1.wav","GALLETAS","g",51.9610708844642,"a",59.7548174210536,7.79374653658945,63.0769230769231,"B2","initial"
"46","fas110928","fas110928_t1.wav","GANABA","g",41.7153337500047,"a",59.8656869067769,18.1503531567722,63.0769230769231,"B2","initial"
"47","fas110928","fas110928_t1.wav","GANABA","b",58.7763465326195,"a",62.5278334583657,3.75148692574628,63.0769230769231,"B2","medial"
"48","fas110928","fas110928_t1.wav","PERDÍA","d",45.3536062009626,"i",52.1534592447685,6.7998530438059,63.0769230769231,"B2","medial"
"49","fas110928","fas110928_t1.wav","DICE","d",58.8251556861173,"i",61.1690863163393,2.343930630222,63.0769230769231,"B2","initial"
"50","fas110928","fas110928_t1.wav","JUGABA","g",53.5919222993042,"a",64.9427221959118,11.3507998966076,63.0769230769231,"B2","medial"
"51","fas110928","fas110928_t1.wav","JUGABA","b",61.9033602209638,"a",65.230512858168,3.3271526372042,63.0769230769231,"B2","medial"
"52","fas110928","fas110928_t1.wav","DELANTERO","d",48.3439363430739,"e",58.8105736289515,10.4666372858776,63.0769230769231,"B2","initial"
"53","fas110928","fas110928_t1.wav","ANOTABA","b",59.5485558758813,"a",60.7955327628179,1.24697688693666,63.0769230769231,"B2","medial"
"54","fas110928","fas110928_t1.wav","GOLES","g",51.6735343179283,"o",56.9374611851787,5.26392686725045,63.0769230769231,"B2","initial"
"55","fas110928","fas110928_t1.wav","GUSTA","g",50.8013521534837,"u",59.4573155672395,8.65596341375583,63.0769230769231,"B2","initial"
"57","fas110928","fas110928_t1.wav","JUGABA","g",49.5100870517278,"a",65.0695588026306,15.5594717509028,63.0769230769231,"B2","medial"
"58","fas110928","fas110928_t1.wav","JUGABA","b",58.4785462192337,"a",58.5602967332912,0.0817505140574184,63.0769230769231,"B2","medial"
"61","fas110928","fas110928_t1.wav","GUSTAN","g",48.7842573818431,"u",60.301426476226,11.5171690943829,63.0769230769231,"B2","initial"
"62","fas110928","fas110928_t1.wav","DEPORTES","d",28.3479545148568,"e",52.9147763149212,24.5668218000644,63.0769230769231,"B2","initial"
"63","fas110928","fas110928_t1.wav","BOXEO","b",50.2308735573994,"o",61.3952904542378,11.1644168968383,63.0769230769231,"B2","initial"
"64","fas110928","fas110928_t1.wav","ABUELO","b",59.9000846911551,"u",63.6511796773323,3.75109498617729,63.0769230769231,"B2","medial"
"65","fas110928","fas110928_t1.wav","DICE","d",52.6453331786383,"i",59.6935067806053,7.04817360196703,63.0769230769231,"B2","initial"
